Identifier,Return,Expected Return,Date
US64110D1046,-1.07,-1.013060074,8/31/2023
US64110L1061,-12.93,-12.7984501,8/31/2023
US6512291062,-10.3,-10.28089151,8/31/2023
US6516391066,-5.29,-5.168931986,8/31/2023
US65249B1098,-6.21,-6.162151564,8/31/2023
US65249B2088,-4.69,-4.543495829,8/31/2023
US65339F1012,-14.24,-14.11245976,8/31/2023
US6541061031,-5.68,-5.66365207,8/31/2023
US65473P1057,-7.77,-7.654826291,8/31/2023
US6556631025,-8.59,-8.532349071,8/31/2023
US6558441084,-3.94,-3.783937359,8/31/2023
US6658591044,-7.76,-7.620994573,8/31/2023
US6668071029,1.64,1.670201892,8/31/2023
US6687711084,-12.69,-12.67060129,8/31/2023
US6703461052,-8.86,-8.727196477,8/31/2023
US67066G1040,-11.86,-11.72861692,8/31/2023
US67103H1077,-3.28,-3.214123088,8/31/2023
US6745991058,3.62,3.665896888,8/31/2023
US6795801009,-4.18,-4.091835075,8/31/2023
US6819191064,-7.2,-7.126245322,8/31/2023
US6821891057,-5.6,-5.539485887,8/31/2023
US6826801036,-2.71,-2.664504046,8/31/2023
US68389X1054,-12.02,-11.95507898,8/31/2023
US68622V1061,-20.95,-20.76181575,8/31/2023
US68902V1070,-6.13,-6.096653823,8/31/2023
US69331C1080,-1.04,-0.856701951,8/31/2023
US6934751057,1.69,1.768878291,8/31/2023
US6935061076,-8.44,-8.339719812,8/31/2023
US69351T1060,-4.53,-4.439919961,8/31/2023
US69370C1009,-3.73,-3.67980395,8/31/2023
US6937181088,3.32,3.503209307,8/31/2023
US6951561090,3.85,3.863548844,8/31/2023
US6974351057,-3.64,-3.610404633,8/31/2023
US7010941042,-6.57,-6.391474527,8/31/2023
US7043261079,-5.65,-5.593076583,8/31/2023
US70432V1026,-12.06,-12.04908652,8/31/2023
US70450Y1038,-6.48,-6.452400094,8/31/2023
US7134481081,-4.77,-4.624354073,8/31/2023
US7140461093,-5.41,-5.378321345,8/31/2023
US7170811035,-6.25,-6.203763498,8/31/2023
US7181721090,-2.25,-2.117302408,8/31/2023
US7185461040,5.25,5.359754986,8/31/2023
US7234841010,-4.65,-4.63712083,8/31/2023
US7237871071,-2.79,-2.698592269,8/31/2023
US73278L1052,-2.6,-2.438042026,8/31/2023
US74144T1088,-5.52,-5.494720296,8/31/2023
US74251V1026,-6.47,-6.353947393,8/31/2023
US7427181091,-5.49,-5.30675511,8/31/2023
US7433151039,4.37,4.560611209,8/31/2023
US74340W1036,-9.02,-8.877028998,8/31/2023
US7443201022,0.23,0.404215125,8/31/2023
US7445731067,-5.94,-5.799995631,8/31/2023
US74460D1090,-3.6,-3.40456435,8/31/2023
US7458671010,-9.57,-9.38871755,8/31/2023
US74736K1016,-11.1,-11.04405164,8/31/2023
US7475251036,-3.03,-3.027376037,8/31/2023
US74762E1029,-10.83,-10.65683015,8/31/2023
US74834L1008,-7.33,-7.203535128,8/31/2023
US7512121010,0.18,0.273924063,8/31/2023
US7547301090,-3.58,-3.407491781,8/31/2023
US75513E1010,-16.35,-16.18155121,8/31/2023
US7561091049,-10.43,-10.31493285,8/31/2023
US7588491032,-3.45,-3.414497768,8/31/2023
US75886F1075,-0.43,-0.378648064,8/31/2023
US7591EP1005,-6.22,-6.0629047,8/31/2023
US7607591002,-0.75,-0.649761851,8/31/2023
US7611521078,-7.34,-7.284814834,8/31/2023
US7703231032,-0.92,-0.871108715,8/31/2023
US7739031091,-8.4,-8.275995863,8/31/2023
US7757111049,-5.66,-5.574104369,8/31/2023
US7766961061,-2.96,-2.80011185,8/31/2023
US7782961038,-7.02,-6.868995396,8/31/2023
US78409V1044,-6.51,-6.365902884,8/31/2023
US78410G1040,-10.85,-10.76300796,8/31/2023
US79466L3024,-8.43,-8.260981742,8/31/2023
US8064071025,-2.99,-2.985150902,8/31/2023
US8085131055,-7.19,-7.046713544,8/31/2023
US81211K1007,-10.81,-10.77098712,8/31/2023
US8168511090,-2.29,-2.131773618,8/31/2023
US81762P1021,-5.07,-4.871998136,8/31/2023
US8243481061,-6.13,-6.121805865,8/31/2023
US8288061091,-3.23,-3.102060714,8/31/2023
US83088M1027,-9.33,-9.324160325,8/31/2023
US8318652091,-8.79,-8.688591351,8/31/2023
US8326964058,-15.21,-15.14267565,8/31/2023
US8330341012,-5.04,-4.92592163,8/31/2023
